identifier,full_link,title,weight,axis
coin-11846,https://catalog.princeton.edu/catalog/coin-11846,"Hadrian (117 to 138), denarius, Rome",2.67,6
coin-11847,https://catalog.princeton.edu/catalog/coin-11847,"Hadrian (117 to 138), denarius, Rome",2.59,6
coin-11848,https://catalog.princeton.edu/catalog/coin-11848,"Hadrian (117 to 138), denarius, Rome",3.13,6
coin-11849,https://catalog.princeton.edu/catalog/coin-11849,"Hadrian (117 to 138), denarius, Rome",3.32,6
coin-1185,https://catalog.princeton.edu/catalog/coin-1185,Guang Xu 光緒 (1875 to 1908),3.43,
coin-11850,https://catalog.princeton.edu/catalog/coin-11850,"Hadrian (117 to 138), denarius, Rome",3.5,6
coin-11851,https://catalog.princeton.edu/catalog/coin-11851,"Hadrian (117 to 138), denarius, Rome",2.85,6
coin-11852,https://catalog.princeton.edu/catalog/coin-11852,"Hadrian (117 to 138), denarius, Rome",3.19,6
coin-11853,https://catalog.princeton.edu/catalog/coin-11853,"Hadrian (117 to 138), denarius, Rome",2.88,6
coin-11854,https://catalog.princeton.edu/catalog/coin-11854,"Hadrian (117 to 138), denarius, Rome",3.46,7
coin-11855,https://catalog.princeton.edu/catalog/coin-11855,"Hadrian (117 to 138), denarius, Rome",2.91,7
coin-11856,https://catalog.princeton.edu/catalog/coin-11856,"Hadrian (117 to 138), denarius, Rome",3.03,7
coin-11857,https://catalog.princeton.edu/catalog/coin-11857,"Hadrian (117 to 138), denarius, Rome",3.02,6
coin-11858,https://catalog.princeton.edu/catalog/coin-11858,"Hadrian (117 to 138), denarius, Rome",3.21,7
coin-11859,https://catalog.princeton.edu/catalog/coin-11859,"Hadrian (117 to 138), denarius, Rome",2.83,7
coin-1186,https://catalog.princeton.edu/catalog/coin-1186,"Hieron II (-274 to -216), litra, Syracuse",14.19,1
coin-11860,https://catalog.princeton.edu/catalog/coin-11860,"Hadrian (117 to 138), denarius, Rome",3.39,7
coin-11861,https://catalog.princeton.edu/catalog/coin-11861,"Hadrian (117 to 138), denarius, Rome",2.95,7
coin-11862,https://catalog.princeton.edu/catalog/coin-11862,"Hadrian (117 to 138), denarius, Rome",2.99,6
coin-11863,https://catalog.princeton.edu/catalog/coin-11863,"Hadrian (117 to 138), denarius, Rome",2.84,6
coin-11864,https://catalog.princeton.edu/catalog/coin-11864,"Hadrian (117 to 138), quinarius, Rome",1.45,7
coin-11865,https://catalog.princeton.edu/catalog/coin-11865,"Hadrian (117 to 138), denarius, Rome",3.27,6
coin-11866,https://catalog.princeton.edu/catalog/coin-11866,"Hadrian (117 to 138), denarius, Rome",3.26,6
coin-11867,https://catalog.princeton.edu/catalog/coin-11867,"Hadrian (117 to 138), denarius, Rome",2.79,6
coin-11868,https://catalog.princeton.edu/catalog/coin-11868,"Hadrian (117 to 138), denarius, Rome",3.15,6
coin-11869,https://catalog.princeton.edu/catalog/coin-11869,"Hadrian (117 to 138), denarius, Rome",2.95,7
coin-1187,https://catalog.princeton.edu/catalog/coin-1187,Guang Xu 光緒 (1875 to 1908),2.67,
coin-11870,https://catalog.princeton.edu/catalog/coin-11870,"Hadrian (117 to 138), denarius, Rome",3.39,6
coin-11871,https://catalog.princeton.edu/catalog/coin-11871,"Hadrian (117 to 138), denarius, Rome",3.33,6
coin-11872,https://catalog.princeton.edu/catalog/coin-11872,"Hadrian (117 to 138), denarius, Rome",3.24,6
coin-11873,https://catalog.princeton.edu/catalog/coin-11873,"Hadrian (117 to 138), denarius, Rome",3.2,6
coin-11874,https://catalog.princeton.edu/catalog/coin-11874,"Hadrian (117 to 138), denarius, Rome",3.1,5
coin-11875,https://catalog.princeton.edu/catalog/coin-11875,"Hadrian (117 to 138), denarius, Rome",3.31,6
coin-11876,https://catalog.princeton.edu/catalog/coin-11876,"Hadrian (117 to 138), denarius, Rome",3.58,6
coin-11877,https://catalog.princeton.edu/catalog/coin-11877,"Hadrian (117 to 138), denarius, Rome",3.22,7
coin-11878,https://catalog.princeton.edu/catalog/coin-11878,"Hadrian (117 to 138), denarius, Rome",3.29,6
coin-11879,https://catalog.princeton.edu/catalog/coin-11879,"Hadrian (117 to 138), denarius, Rome",3.45,6
coin-1188,https://catalog.princeton.edu/catalog/coin-1188,Guang Xu 光緒 (1875 to 1908),2.93,
coin-11880,https://catalog.princeton.edu/catalog/coin-11880,"Hadrian (117 to 138), denarius, Rome",2.98,6
coin-11881,https://catalog.princeton.edu/catalog/coin-11881,"Hadrian (117 to 138), denarius, Rome",3.2,6
