ID,Catalog link,Existing References,Nomisma dataset,Reference link,Monogram link from http://numismatics.org/hrc/symbols,Second monogram link,Third monogram link,
116,https://catalog.princeton.edu/catalog/coin-116,Anastasius 37d; Anastasius 26e;BMC.Byz. Anastasius 58v.;Sear  29,,,,,,
117,https://catalog.princeton.edu/catalog/coin-117,Anastasius 37d; Anastasius 26e;BMC.Byz. Anastasius 58v.;Sear  29,,,,,,
118,https://catalog.princeton.edu/catalog/coin-118,Anastasius 37d; Anastasius 26e;BMC.Byz. Anastasius 58v.;Sear  29,,,,,,
119,https://catalog.princeton.edu/catalog/coin-119,Anastasius 37d; Anastasius 26e;BMC.Byz. Anastasius 58v.;Sear  29,,,,,,
120,https://catalog.princeton.edu/catalog/coin-120,Anastasius 37d; Anastasius 26e;BMC.Byz. Anastasius 58v.;Sear  29,,,,,,
121,https://catalog.princeton.edu/catalog/coin-121,Anastasius 37d; Anastasius 26e;BMC.Byz. Anastasius 58v.;Sear  29,,,,,,
122,https://catalog.princeton.edu/catalog/coin-122,Anastasius 37d; Anastasius 26e;BMC.Byz. Anastasius 58v.;Sear  29,,,,,,
123,https://catalog.princeton.edu/catalog/coin-123,Anastasius 37d; Anastasius 26e;BMC.Byz. Anastasius 58v.;Sear  29,,,,,,
124,https://catalog.princeton.edu/catalog/coin-124,Anastasius 37d; Anastasius 26e;BMC.Byz. Anastasius 58v.;Sear  29,,,,,,
125,https://catalog.princeton.edu/catalog/coin-125,Anastasius 38; Anastasius 26ev.;BMC.Byz. Anastasius 58v.;Sear  29A,,,,,,
126,https://catalog.princeton.edu/catalog/coin-126,Anastasius 38; Anastasius 26ev.;BMC.Byz. Anastasius 58v.;Sear  29A,,,,,,
127,https://catalog.princeton.edu/catalog/coin-127,Anastasius 38; Anastasius 26ev.;BMC.Byz. Anastasius 58v.;Sear  29A,,,,,,
129,https://catalog.princeton.edu/catalog/coin-129,Anastasius 38; Anastasius 26ev.;BMC.Byz. Anastasius 58v.;Sear  29A,,,,,,
130,https://catalog.princeton.edu/catalog/coin-130,Anastasius 39a; Anastasius 26a;BMC.Byz. Anastasius 54;Sear  29,,,,,,
131,https://catalog.princeton.edu/catalog/coin-131,Anastasius 39a; Anastasius 26a;BMC.Byz. Anastasius 54;Sear  29,,,,,,
132,https://catalog.princeton.edu/catalog/coin-132,Anastasius 39a; Anastasius 26a;BMC.Byz. Anastasius 54;Sear  29,,,,,,
133,https://catalog.princeton.edu/catalog/coin-133,Anastasius 39a; Anastasius 26a;BMC.Byz. Anastasius 54;Sear  29,,,,,,
134,https://catalog.princeton.edu/catalog/coin-134,Anastasius 54; Anastasius 44;Sear  45,,,,,,
135,https://catalog.princeton.edu/catalog/coin-135,Anastasius 38b; Anastasius 26b;BMC.Byz. Anastasius 55;Sear  29,,,,,,
136,https://catalog.princeton.edu/catalog/coin-136,Anastasius 38c; Anastasius 26c;BMC.Byz. Anastasius 57;Sear  29,,,,,,
137,https://catalog.princeton.edu/catalog/coin-137,Anastasius 39d; Anastasius 29d;BMC.Byz. Anastasius 58;Sear  29,,,,,,
138,https://catalog.princeton.edu/catalog/coin-138,Anastasius 39d; Anastasius 29d;BMC.Byz. Anastasius 58;Sear  29,,,,,,
139,https://catalog.princeton.edu/catalog/coin-139,Anastasius 54; Anastasius 44;Sear  45,,,,,,
140,https://catalog.princeton.edu/catalog/coin-140,Anastasius 54; Anastasius 44;Sear  45,,,,,,
141,https://catalog.princeton.edu/catalog/coin-141,Anastasius 54; Anastasius 44;Sear  45,,,,,,
142,https://catalog.princeton.edu/catalog/coin-142,Anastasius 54; Anastasius 44;Sear  45,,,,,,
143,https://catalog.princeton.edu/catalog/coin-143,Anastasius 37e; Anastasius 26ev.;BMC.Byz. Anastasius 57v.;Sear  29,,,,,,
147,https://catalog.princeton.edu/catalog/coin-147,BMC.1. 160 88-92;RIC.1. 96 8,OCRE,http://numismatics.org/ocre/id/ric.1(2).gai.56,,,,
150,https://catalog.princeton.edu/catalog/coin-150,Anastasius 42v.; Anastasius 34v.;BMC.Byz. Anastasius 62v.;Sear  34v.,,,,,,
156,https://catalog.princeton.edu/catalog/coin-156,Mitchiner  2083,,,,,,
157,https://catalog.princeton.edu/catalog/coin-157,BMC.1. Augustus 2;RIC.1. Augustus 96;Sear  1605,OCRE,http://numismatics.org/ocre/id/ric.1(2).aug.322,,,,
158,https://catalog.princeton.edu/catalog/coin-158,BMC.1. Augustus 2;RIC.1. Augustus 96;Sear  1605,OCRE,http://numismatics.org/ocre/id/ric.1(2).aug.322,,,,
159,https://catalog.princeton.edu/catalog/coin-159,BMC.1. Augustus 13;RIC.1. Augustus 99;Sear  1603,OCRE,http://numismatics.org/ocre/id/ric.1(2).aug.288,,,,
162,https://catalog.princeton.edu/catalog/coin-162,BMC.1. Augustus 13;RIC.1. Augustus 99;Sear  1603,OCRE,http://numismatics.org/ocre/id/ric.1(2).aug.288,,,,
163,https://catalog.princeton.edu/catalog/coin-163,BMC.1. Augustus 49;RIC.1. Augustus 125,OCRE,http://numismatics.org/ocre/id/ric.1(2).aug.310,,,,
166,https://catalog.princeton.edu/catalog/coin-166,Mitchiner  2097v,,,,,,
168,https://catalog.princeton.edu/catalog/coin-168,Mitchiner  1304;BMC.Turks  900,,,,,,
169,https://catalog.princeton.edu/catalog/coin-169,Mitchiner  1304;BMC.Turks  900,,,,,,
170,https://catalog.princeton.edu/catalog/coin-170,BMC.1. Augustus 52;RIC.1. Augustus 128;Sear  1594,OCRE,http://numismatics.org/ocre/id/ric.1(2).aug.311,,,,
171,https://catalog.princeton.edu/catalog/coin-171,Mitchiner  1292,,,,,,
173,https://catalog.princeton.edu/catalog/coin-173,BMC.1. Augustus 76;RIC.1. Augustus 137;Sear,OCRE,http://numismatics.org/ocre/id/ric.1(2).aug.344,,,,
174,https://catalog.princeton.edu/catalog/coin-174,BMC.1. Augustus 79;RIC.1. Augustus 147,OCRE,http://numismatics.org/ocre/id/ric.1(2).aug.361  (Could also be 360),,,,
176,https://catalog.princeton.edu/catalog/coin-176,BMC.1. Augustus 127;RIC.1. Augustus 175;Sear  1615,OCRE,http://numismatics.org/ocre/id/ric.1(2).aug.416,,,,
177,https://catalog.princeton.edu/catalog/coin-177,BMC.1. Augustus 137;RIC.1. Augustus 72;Sear  1681,OCRE,http://numismatics.org/ocre/id/ric.1(2).aug.382,,,,
179,https://catalog.princeton.edu/catalog/coin-179,BMC.1. Augustus 137;RIC.1. Augustus 72;Sear  1681,OCRE,http://numismatics.org/ocre/id/ric.1(2).aug.382,,,,
180,https://catalog.princeton.edu/catalog/coin-180,BMC.1. Augustus 145;RIC.1. Augustus 75;Sear  1665,OCRE,http://numismatics.org/ocre/id/ric.1(2).aug.384,,,,
181,https://catalog.princeton.edu/catalog/coin-181,RIC.1. Augustus 74;BMC.1. Augustus 144;Sear  1683,OCRE,http://numismatics.org/ocre/id/ric.1(2).aug.386,,,,
183,https://catalog.princeton.edu/catalog/coin-183,Mitchiner  2097v,,,,,,
184,https://catalog.princeton.edu/catalog/coin-184,Mitchiner  2097v,,,,,,
186,https://catalog.princeton.edu/catalog/coin-186,Mitchiner  2097v,,,,,,
187,https://catalog.princeton.edu/catalog/coin-187,BMC.1. Augustus 153;RIC.1. Augustus 69;Sear  1680,OCRE,http://numismatics.org/ocre/id/ric.1(2).aug.389,,,,
188,https://catalog.princeton.edu/catalog/coin-188,BMC.1. Augustus 153;RIC.1. Augustus 69;Sear  1680,OCRE,http://numismatics.org/ocre/id/ric.1(2).aug.389,,,,
189,https://catalog.princeton.edu/catalog/coin-189,Mitchiner  2097v,,,,,,
190,https://catalog.princeton.edu/catalog/coin-190,BMC.1. Augustus 153;RIC.1. Augustus 69;Sear  1680,OCRE,http://numismatics.org/ocre/id/ric.1(2).aug.389,,,,
191,https://catalog.princeton.edu/catalog/coin-191,BMC.1. Augustus 156;RIC.1. Augustus 69;PUC  1680,OCRE,http://numismatics.org/ocre/id/ric.1(2).aug.389,,,,
192,https://catalog.princeton.edu/catalog/coin-192,BMC.1. Augustus 157;RIC.1. Augustus 76;Sear  1646V,OCRE,http://numismatics.org/ocre/id/ric.1(2).aug.370,,,,
193,https://catalog.princeton.edu/catalog/coin-193,BMC.1. Augustus 157;RIC.1. Augustus 76;Sear  1646V,OCRE,http://numismatics.org/ocre/id/ric.1(2).aug.370,,,,
194,https://catalog.princeton.edu/catalog/coin-194,BMC.1. Augustus 158;RIC.1. Augustus 72;Sear  1665V,OCRE,CORRECTED REFERNCE  http://numismatics.org/ocre/id/ric.1(2).aug.371,,,,
195,https://catalog.princeton.edu/catalog/coin-195,BMC.1. Augustus 171;RIC.1. Augustus 82;Sear  1646,OCRE,http://numismatics.org/ocre/id/ric.1(2).aug.377,,,,NO IMAGE
196,https://catalog.princeton.edu/catalog/coin-196,BMC.1. Augustus 174;RIC.1. Augustus 84;Sear  1679,OCRE,http://numismatics.org/ocre/id/ric.1(2).aug.379,,,,NO IMAGE
197,https://catalog.princeton.edu/catalog/coin-197,BMC.1. Augustus 174;RIC.1. Augustus 84;Sear  1679,OCRE,http://numismatics.org/ocre/id/ric.1(2).aug.379,,,,NO IMAGE
199,https://catalog.princeton.edu/catalog/coin-199,BMC.1. Augustus 174;RIC.1. Augustus 84;Sear  1679,OCRE,http://numismatics.org/ocre/id/ric.1(2).aug.379,,,,NO IMAGE
200,https://catalog.princeton.edu/catalog/coin-200,BMC.1. Augustus 181;RIC.1. Augustus 88;Sear  1654,OCRE,indeterminate http://numismatics.org/ocre/id/ric.1(2).aug.327 (could also be 328-330),,,,NO IMAGE
